ah 安徽大学
bj 北京中医药大学
bj 北京交通大学
bj 北京体育大学
bj 北京化工大学
bj 北京外国语大学
bj 北京大学
bj 北京工业大学
bj 北京师范大学
bj 北京林业大学
bj 北京理工大学
bj 北京科技大学
bj 北京航空航天大学
bj 北京邮电大学
ca 长安大学
cq 重庆大学
db 东北农业大学
db 东北大学
db 东北师范大学
db 东北林业大学
de 第二军医大学
dh 东华大学
dl 大连海事大学
dl 大连理工大学
dn 东南大学
ds 第四军医大学
dw 对外经济贸易大学
dz 电子科技大学
fd 复旦大学
fz 福州大学
gf 国防科学技术大学
gx 广西大学
gz 贵州大学
hb 华北电力大学(保定)
hb 华北电力大学(北京)
hb 河北工业大学
hd 华东师范大学
hd 华东理工大学
he 哈尔滨工业大学
he 哈尔滨工程大学
hf 合肥工业大学
hh 河海大学
hn 华南师范大学
hn 华南理工大学
hn 海南大学
hn 湖南大学
hn 湖南师范大学
hz 华中农业大学
hz 华中师范大学
hz 华中科技大学
jl 吉林大学
jn 暨南大学
jn 江南大学
ln 辽宁大学
lz 兰州大学
nc 南昌大学
nj 南京农业大学
nj 南京大学
nj 南京师范大学
nj 南京理工大学
nj 南京航空航天大学
nk 南开大学
nm 内蒙古大学
nx 宁夏大学
qh 清华大学
qh 青海大学
sc 四川农业大学
sc 四川大学
sd 山东大学
sh 上海交通大学
sh 上海外国语大学
sh 上海大学
sh 上海财经大学
sh 石河子大学
sx 陕西师范大学
sz 苏州大学
tj 同济大学
tj 天津医科大学
tj 天津大学
ty 太原理工大学
wh 武汉大学
wh 武汉理工大学
xa 西安交通大学
xa 西安电子科技大学
xb 西北农林科技大学
xb 西北大学
xb 西北工业大学
xj 新疆大学
xm 厦门大学
xn 西南交通大学
xn 西南大学
xn 西南财经大学
xz 西藏大学
yb 延边大学
yn 云南大学
zg 中国人民大学
zg 中国传媒大学
zg 中国农业大学
zg 中国地质大学(北京)
zg 中国地质大学(武汉)
zg 中国政法大学
zg 中国海洋大学
zg 中国石油大学(北京)
zg 中国石油大学(华东)
zg 中国矿业大学(北京)
zg 中国矿业大学(徐州)
zg 中国科学技术大学
zg 中国药科大学
zj 浙江大学
zn 中南大学
zn 中南财经政法大学
zs 中山大学
zy 中央民族大学
zy 中央财经大学
zy 中央音乐学院
zz 郑州大学
